id,from,to,x,y,wkt,count
58568,51414512,1803835418,4594140.9530227855,5822925.56164325,"LINESTRING (4594169.821180622 5822940.336142103, 4594112.084864949 5822910.787144397)",5860
58577,2866993683,51414512,4594172.622424863,5822934.273461982,"LINESTRING (4594175.4236691035 5822928.21078186, 4594169.821180622 5822940.336142103)",3540
58578,51414512,2866993683,4594172.622424863,5822934.273461982,"LINESTRING (4594169.821180622 5822940.336142103, 4594175.4236691035 5822928.21078186)",880
5859,102265481,102265951,4593460.469600635,5820198.698168022,"LINESTRING (4593481.193421169 5820263.663719181, 4593439.745780099 5820133.732616862)",580
58597,1803835379,51414512,4594203.736452291,5822944.850599701,"LINESTRING (4594237.65172396 5822949.365057297, 4594169.821180622 5822940.336142103)",2610
5860,102265951,102265481,4593460.469600635,5820198.698168022,"LINESTRING (4593439.745780099 5820133.732616862, 4593481.193421169 5820263.663719181)",120
58777,2869498214,29831565,4590403.561707073,5821900.674433397,"LINESTRING (4590413.432517145 5821894.467402446, 4590393.690897001 5821906.881464347)",7590
58778,29831565,1929590514,4590377.272435315,5821916.000967117,"LINESTRING (4590393.690897001 5821906.881464347, 4590360.853973629 5821925.120469886)",7820
58808,3792950674,1302029403,4592113.088426476,5823321.920372596,"LINESTRING (4592106.482536077 5823315.8689723695, 4592119.694316875 5823327.971772823)",5870
58809,1302029403,3792950674,4592113.088426476,5823321.920372596,"LINESTRING (4592119.694316875 5823327.971772823, 4592106.482536077 5823315.8689723695)",6110
58810,26725536,3799567324,4591918.444603645,5823153.8788886685,"LINESTRING (4591845.597205607 5823091.348069606, 4591991.292001683 5823216.409707732)",5780
58811,3799567324,26725536,4591918.444603645,5823153.8788886685,"LINESTRING (4591991.292001683 5823216.409707732, 4591845.597205607 5823091.348069606)",6370
58855,25665007,697323164,4595150.35850255,5821459.806287539,"LINESTRING (4595090.795702908 5821426.6484174, 4595209.921302192 5821492.964157678)",8740
58856,697323164,3463838883,4595241.762819316,5821513.830204829,"LINESTRING (4595209.921302192 5821492.964157678, 4595273.6043364415 5821534.696251979)",8900
58859,21487183,160493853,4595075.864650791,5821431.852053255,"LINESTRING (4595088.024979566 5821434.364178039, 4595063.704322015 5821429.33992847)",7760
58881,2847400204,2854374053,4596887.498922798,5821616.015416244,"LINESTRING (4596854.522007851 5821628.910378496, 4596920.475837745 5821603.120453993)",1810
58903,283651556,283651572,4592009.913628973,5820278.847705083,"LINESTRING (4591896.6833996745 5820329.812149675, 4592123.143858271 5820227.88326049)",240
58904,283651572,283651556,4592009.913628973,5820278.847705083,"LINESTRING (4592123.143858271 5820227.88326049, 4591896.6833996745 5820329.812149675)",240
